name;yearpublished;minplayers;maxplayers;minplaytime;maxplaytime;average
7 Wonders;2010;2;7;30;30;8
7 Wonders Duel;2015;2;2;30;30;8
7 Wonders: Architects;2021;2;7;25;25;7
7 Wonders: Leaders;2011;2;7;40;40;8
Akropolis;2022;1;4;20;30;7
Alhambra;2003;2;6;45;60;7
Big Monster;2018;2;6;20;30;7
Caesar's Empire;2022;2;5;30;60;7
Captains' War;2022;1;6;30;45;6
Cartaventura: Lhasa;2021;1;6;45;45;6
Cartzzle: Exploration extrême;2021;1;2;20;45;6
Cheating Moth;2011;3;5;30;30;6
Citadels;2000;2;8;20;60;7
CIV: Carta Impera Victoria;2018;2;4;20;60;6
Codenames: Disney – Family Edition;2017;2;8;15;15;7
Codex Naturalis;2021;1;4;20;30;7
The Crew: Mission Deep Sea;2021;2;5;20;20;8
The Crew: The Quest for Planet Nine;2019;2;5;20;20;8
Dealt!;2018;3;5;30;30;7
Detective Club;2018;4;8;45;45;7
Dice Forge;2017;2;4;45;45;7
Dice Forge: Rebellion;2019;2;4;40;40;8
Doctor Panic;2016;2;9;12;12;6
État d'urgence;2021;1;5;10;60;6
Flourish;2021;1;7;20;60;7
Forbidden Island;2010;2;4;30;30;7
Furnace;2020;2;4;30;60;7
Ghost Blitz;2010;2;8;20;20;7
Glow;2021;2;4;45;45;7
Happy City;2021;2;5;20;30;7
The Hunger;2021;2;6;60;60;7
It's a Wonderful Kingdom;2021;1;2;45;45;7
It's a Wonderful World;2019;1;5;45;45;8
Just One;2018;3;7;20;60;8
Kameloot;2021;3;6;20;25;7
Khôra: Rise of an Empire;2021;2;4;75;75;7
[kosmopoli:t];2020;4;8;6;6;8
Ligretto Probe-Version;2019;2;2;5;10;6
Living Forest;2021;1;4;40;40;7
Loco Momo;2020;1;4;20;30;6
MicroMacro: Crime City;2020;1;4;15;45;7
MicroMacro: Crime City – Full House;2021;1;4;15;45;8
Next Station: London;2022;1;4;25;30;7
Oh My Brain;2021;2;5;10;15;7
Papayoo;2010;3;8;30;30;6
Paper Dungeons: A Dungeon Scrawler Game;2020;1;8;30;30;7
Quadropolis;2016;2;4;30;60;7
Sagrada;2017;1;4;30;45;7
Shadow Kingdoms of Valeria;2021;1;5;30;75;8
Takenoko;2011;2;4;45;45;7
Terraforming Mars;2016;1;5;120;120;8
Tiny Towns;2019;1;6;45;60;7
Top Ten;2020;4;9;30;30;7
Trek 12: Amazonia;2021;1;50;15;15;7
Trek 12: Himalaya;2020;1;50;15;30;7
Valeria: Card Kingdoms;2016;1;5;30;45;7
Valeria: Card Kingdoms – Crimson Seas;2019;1;5;30;45;8
Valeria: Card Kingdoms – Flames & Frost;2017;1;5;30;45;8
Valeria: Card Kingdoms – Shadowvale;2019;1;5;30;45;8
Volfyirion;2019;1;2;15;30;7
Welcome to the Moon;2021;1;6;25;30;8
Welcome To...;2018;1;100;25;25;8
